N,decode,gop,inf_per_s_per_stream,skip,decoded_per_s,offered_per_s,hold_pct,pre_ms,queue_ms,gpu_ms,total_ms,nvdec_pct,sm_pct,vram_mb,plates,bottleneck
100,key15,15,0.0833,24,192.6,200.0,96.3,2.96,1.58,2.13,6.67,21,2,0,316,none(offered-bound)
100,key15,15,0.0667,30,192.6,200.0,96.3,1.40,0.03,2.05,3.48,21,2,0,160,none(offered-bound)
1,key30,30,1.0000,1,1.0,1.0,100.0,0.05,0.02,2.07,2.14,0,0,0,30,none(offered-bound)
1,key30,30,0.5000,2,1.0,1.0,100.0,0.05,0.03,2.19,2.27,0,0,0,18,none(offered-bound)
1,key30,30,0.3333,3,1.0,1.0,100.0,0.06,0.02,2.04,2.12,0,0,0,6,none(offered-bound)
1,key30,30,0.2500,4,1.0,1.0,100.0,0.06,0.02,2.29,2.37,1,0,0,5,none(offered-bound)
1,key30,30,0.1667,6,1.0,1.0,100.0,0.08,0.02,2.36,2.46,0,0,0,6,none(offered-bound)
1,key30,30,0.1250,8,1.0,1.0,100.0,0.08,0.02,2.45,2.55,0,0,0,5,none(offered-bound)
1,key30,30,0.0833,12,1.0,1.0,100.0,0.10,0.02,2.69,2.81,1,0,0,3,none(offered-bound)
1,key30,30,0.0667,15,1.0,1.0,100.0,0.12,0.02,2.63,2.77,0,0,0,1,none(offered-bound)
4,key30,30,1.0000,1,3.8,4.0,95.0,0.04,0.02,2.02,2.08,0,0,0,152,none(offered-bound)
4,key30,30,0.5000,2,3.8,4.0,95.0,0.04,0.02,1.98,2.04,0,0,0,52,none(offered-bound)
4,key30,30,0.3333,3,3.8,4.0,95.0,0.06,0.02,2.03,2.11,1,0,0,37,none(offered-bound)
4,key30,30,0.2500,4,3.8,4.0,95.0,0.05,0.02,2.19,2.26,0,1,0,38,none(offered-bound)
4,key30,30,0.1667,6,3.8,4.0,95.0,0.07,0.02,2.19,2.28,0,0,0,19,none(offered-bound)
4,key30,30,0.1250,8,3.8,4.0,95.0,0.06,0.02,2.04,2.12,1,0,0,11,none(offered-bound)
4,key30,30,0.0833,12,3.8,4.0,95.0,0.06,0.05,2.31,2.42,1,0,1721,14,none(offered-bound)
4,key30,30,0.0667,15,3.8,4.0,95.0,0.07,0.02,2.24,2.33,1,0,0,6,none(offered-bound)
8,key30,30,1.0000,1,7.7,8.0,96.2,0.04,0.02,1.93,1.99,0,1,0,204,none(offered-bound)
8,key30,30,0.5000,2,7.6,8.0,95.0,0.04,0.02,1.92,1.98,0,0,0,111,none(offered-bound)
8,key30,30,0.3333,3,7.6,8.0,95.0,0.04,0.02,2.06,2.12,1,0,0,100,none(offered-bound)
8,key30,30,0.2500,4,7.7,8.0,96.2,0.05,0.02,2.05,2.12,1,0,0,52,none(offered-bound)
8,key30,30,0.1667,6,7.6,8.0,95.0,0.05,0.02,1.94,2.01,1,0,0,24,none(offered-bound)
8,key30,30,0.1250,8,7.6,8.0,95.0,0.05,0.02,2.14,2.21,0,0,0,38,none(offered-bound)
8,key30,30,0.0833,12,7.6,8.0,95.0,0.05,0.02,2.20,2.27,0,0,0,20,none(offered-bound)
8,key30,30,0.0667,15,7.7,8.0,96.2,0.06,0.02,2.07,2.15,1,0,0,11,none(offered-bound)
16,key30,30,1.0000,1,15.2,16.0,95.0,0.04,0.02,1.90,1.96,2,3,0,454,none(offered-bound)
16,key30,30,0.5000,2,15.2,16.0,95.0,0.04,0.02,2.03,2.09,2,2,0,302,none(offered-bound)
16,key30,30,0.3333,3,15.5,16.0,96.9,0.04,0.02,1.95,2.01,2,1,0,128,none(offered-bound)
16,key30,30,0.2500,4,15.2,16.0,95.0,0.04,0.02,1.94,2.00,1,1,0,94,none(offered-bound)
